dataset_id,display_name,source,source_id,source_url,license_or_terms,source_version,raw_sha256,task_type,target_column,n_rows,n_classes,class_counts,ir_majority_minority,n_min_class,d_raw,d_encoded,feature_type,has_missing,has_groups,has_time_order,has_duplicates,leakage_status,imbalance_band,eligible,exclusion_reason,applicable_conditions,notes
openml_41169_helena,helena,OpenML,openml:41169,https://openml.org/data/v1/download/41169/helena.arff,OpenML public; underlying source terms recorded in OpenML description,1,528025e396c8df0deca7b0aaeebe49acda135ffe83b5bc27319c967c75f30e50,single-label-classification,class,65196,100,0:466|1:291|10:111|11:479|12:436|13:385|14:321|15:541|16:358|17:2210|18:224|19:132|2:141|20:845|21:310|22:262|23:509|24:227|25:719|26:737|27:327|28:264|29:846|3:257|30:581|31:230|32:119|33:122|34:116|35:129|36:183|37:339|38:2216|39:2623|4:439|40:2992|41:179|42:145|43:600|44:316|45:337|46:588|47:196|48:822|49:212|5:272|50:190|51:397|52:551|53:146|54:133|55:3063|56:121|57:1794|58:212|59:1302|6:1096|60:382|61:453|62:190|63:952|64:680|65:168|66:439|67:535|68:236|69:2172|7:500|70:297|71:326|72:567|73:299|74:142|75:121|76:544|77:1827|78:4005|79:1274|8:188|80:214|81:166|82:374|83:232|84:177|85:765|86:443|87:1002|88:1856|89:351|9:797|90:128|91:1939|92:1811|93:411|94:180|95:162|96:1188|97:1822|98:305|99:417,36.08108108108108,111,27,,numeric,False,False,False,True,pass; raw-frame structural audit found no group/time/conflicting-profile issue,severe_ir_gt_20,True,,adasyn;balanced_random_forest;borderline_smote;class_weighted;random_over;random_under;raw;smote;smoteenn;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=4; conflicting_feature_groups=0; numeric_columns=27; categorical_columns=0.
openml_41440_okcupid_stem,okcupid-stem,OpenML,openml:41440,https://openml.org/data/v1/download/41440/okcupid-stem.arff,OpenML public; underlying source terms recorded in OpenML description,2,73c72165b6282d9bbd27a5b485c065a32d31ef1797babf63e138d5711410b901,single-label-classification,job,50789,3,non_stem:36350|stem:9557|student:4882,7.445718967636215,4882,19,,mixed,True,False,False,True,pass; raw-frame structural audit found no group/time/conflicting-profile issue,moderate_ir_5_to_20,True,,balanced_random_forest;class_weighted;random_over;random_under;raw;smoteenn;smotenc;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=4; conflicting_feature_groups=1; numeric_columns=2; categorical_columns=17.
openml_41671_microaggregation2,microaggregation2,OpenML,openml:41671,https://openml.org/data/v1/download/41671/microaggregation2.arff,OpenML public; underlying source terms recorded in OpenML description,1,4916cc095dafa7909a788922d0434c2639ffe704715fc6fbee0daf90e11df9f8,single-label-classification,class,20000,5,1:11162|2:4482|3:1514|4:743|5:2099,15.022880215343204,743,20,,numeric,False,False,False,False,pass; raw-frame structural audit found no group/time/conflicting-profile issue,moderate_ir_5_to_20,True,,adasyn;balanced_random_forest;borderline_smote;class_weighted;random_over;random_under;raw;smote;smoteenn;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=0; numeric_columns=20; categorical_columns=0.
openml_41701_cpmp_2015_classification,CPMP-2015-classification,OpenML,openml:41701,https://openml.org/data/v1/download/41701/CPMP-2015-classification.arff,OpenML public; underlying source terms recorded in OpenML description,1,a21216255175fe804df688d13daf785e45cb9ce5966662ce4a47f0a90607cf5a,single-label-classification,algorithm,527,4,astar.symmulgt.transmul:78|astar.symmullt.transmul:84|idastar.symmulgt.transmul:157|idastar.symmullt.transmul:208,2.6666666666666665,78,26,,mixed,False,False,False,False,pass; raw-frame structural audit found no group/time/conflicting-profile issue,mild_ir_2_to_5,True,,balanced_random_forest;class_weighted;random_over;random_under;raw;smoteenn;smotenc;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=0; numeric_columns=25; categorical_columns=1.
openml_41705_asp_potassco_classification,ASP-POTASSCO-classification,OpenML,openml:41705,https://openml.org/data/v1/download/41705/ASP-POTASSCO-classification.arff,OpenML public; underlying source terms recorded in OpenML description,1,e480a1ce23d1911bdd6c29ab895256f1c9335a4394111061ebce7057c89ddeca,single-label-classification,algorithm,1294,11,clasp.2.1.3.h1.n1:240|clasp.2.1.3.h10.n1:258|clasp.2.1.3.h11.n1:75|clasp.2.1.3.h2.n1:87|clasp.2.1.3.h3.n1:21|clasp.2.1.3.h4.n1:125|clasp.2.1.3.h5.n1:65|clasp.2.1.3.h6.n1:151|clasp.2.1.3.h7.n1:88|clasp.2.1.3.h8.n1:109|clasp.2.1.3.h9.n1:75,12.285714285714286,21,142,,mixed,True,False,False,False,pass; raw-frame structural audit found no group/time/conflicting-profile issue,moderate_ir_5_to_20,True,,balanced_random_forest;class_weighted;random_over;random_under;raw;smoteenn;smotenc;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=0; numeric_columns=141; categorical_columns=1.
openml_41919_cpmp_2015_runtime_classification,CPMP-2015-runtime-classification,OpenML,openml:41919,https://openml.org/data/v1/download/41919/CPMP-2015-runtime-classification.arff,OpenML public; underlying source terms recorded in OpenML description,1,a0648df02d39f8d9ee4d26098e547f2a2805f3b264bbd320db5a62da2e415582,single-label-classification,algorithm,527,4,astar.symmulgt.transmul:78|astar.symmullt.transmul:84|idastar.symmulgt.transmul:157|idastar.symmullt.transmul:208,2.6666666666666665,78,22,,numeric,False,False,False,False,pass; raw-frame structural audit found no group/time/conflicting-profile issue,mild_ir_2_to_5,True,,adasyn;balanced_random_forest;borderline_smote;class_weighted;random_over;random_under;raw;smote;smoteenn;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=0; numeric_columns=22; categorical_columns=0.
openml_42345_traffic_violations,Traffic_violations,OpenML,openml:42345,https://openml.org/data/v1/download/42345/Traffic_violations.arff,OpenML public; underlying source terms recorded in OpenML description,5,3e42a142067a22272b795ca3dc7d00cd0ead38f2e8afeee83891505cae5171a1,single-label-classification,Violation.Type,70340,3,Citation:32452|SERO:3506|Warning:34382,9.806617227609811,3506,20,,mixed,True,False,False,True,pass; raw-frame structural audit found no group/time/conflicting-profile issue,moderate_ir_5_to_20,True,,balanced_random_forest;class_weighted;random_over;random_under;raw;smoteenn;smotenc;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=99; conflicting_feature_groups=39; numeric_columns=1; categorical_columns=19.
openml_42585_penguins,penguins,OpenML,openml:42585,https://openml.org/data/v1/download/42585/penguins.arff,OpenML public; underlying source terms recorded in OpenML description,1,7a40e6acbfa91fd03023012034dca24d0b18fdf484acb1bb3d593feedbca93c7,single-label-classification,species,344,3,Adelie:152|Chinstrap:68|Gentoo:124,2.235294117647059,68,6,,mixed,True,False,False,False,pass; raw-frame structural audit found no group/time/conflicting-profile issue,mild_ir_2_to_5,True,,balanced_random_forest;class_weighted;random_over;random_under;raw;smoteenn;smotenc;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=0; numeric_columns=4; categorical_columns=2.
openml_45714_pricerunner,PriceRunner,OpenML,openml:45714,https://openml.org/data/v1/download/45714/PriceRunner.arff,OpenML public; underlying source terms recorded in OpenML description,3,bf08cb8916e12deb231c3ac970d7feae84243318094c9f36069b8c9a76ce6f6c,single-label-classification,category_label,35300,10,CPUs:3860|Digital Cameras:2694|Dishwashers:3424|Freezers:2212|Fridge Freezers:5501|Fridges:3584|Microwaves:2342|Mobile Phones:4075|TVs:3564|Washing Machines:4044,2.486889692585895,2212,5,,mixed,False,False,False,False,pass; raw-frame structural audit found no group/time/conflicting-profile issue,mild_ir_2_to_5,True,,balanced_random_forest;class_weighted;random_over;random_under;raw;smoteenn;smotenc;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=0; numeric_columns=4; categorical_columns=1.
openml_45968_braidflowsessionlevel,BraidFlowSessionLevel,OpenML,openml:45968,https://openml.org/data/v1/download/45968/BraidFlowSessionLevel.arff,OpenML public; underlying source terms recorded in OpenML description,1,a1e9100881f7cc7e2b8de531ef445d0004263c71380c09240411ce9d1083cbaa,single-label-classification,flow_state,2364,3,fall:676|flow:532|neutral:1156,2.172932330827068,532,123,,mixed,False,False,True,False,review-fail; manual provenance decision,mild_ir_2_to_5,False,time-like columns require time-aware validation: timestamp; exclude: session-level observations imply grouped dependence without a supported grouped split,balanced_random_forest;class_weighted;random_over;random_under;raw;smoteenn;smotenc;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=0; numeric_columns=117; categorical_columns=6.
openml_46336_hayes_roth_clean,hayes-roth_clean,OpenML,openml:46336,https://openml.org/data/v1/download/46336/hayes-roth_clean.arff,OpenML public; underlying source terms recorded in OpenML description,1,26bd3aca4a16ba82c58d7b33828433668de770bcd2d2c3794131f5568dafb5cf,single-label-classification,class,160,3,1:65|2:64|3:31,2.096774193548387,31,4,,numeric,False,False,False,True,review-fail; manual provenance decision,mild_ir_2_to_5,False,exclude: cleaned duplicate OpenML task family with openml_329_hayes_roth; one underlying task counts once,adasyn;balanced_random_forest;borderline_smote;class_weighted;random_over;random_under;raw;smote;smoteenn;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=67; conflicting_feature_groups=9; numeric_columns=4; categorical_columns=0.
openml_46443_credit_risk_china,credit_risk_china,OpenML,openml:46443,https://openml.org/data/v1/download/46443/credit_risk_china.arff,OpenML public; underlying source terms recorded in OpenML description,1,be07ca45ed650cec58f2b015a4967475d46953c14306a4b3457f5792efe30869,single-label-classification,five_categories,27522,5,Concern:109|Loss:349|Normal:25516|Secondary:1445|Suspicious:103,247.72815533980582,103,27,,numeric,True,False,False,False,pass; raw-frame structural audit found no group/time/conflicting-profile issue,severe_ir_gt_20,True,,adasyn;balanced_random_forest;borderline_smote;class_weighted;random_over;random_under;raw;smote;smoteenn;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=0; numeric_columns=27; categorical_columns=0.
openml_46519_credit_risk_modeling,Credit_Risk_Modeling,OpenML,openml:46519,https://openml.org/data/v1/download/46519/Credit_Risk_Modeling.arff,OpenML public; underlying source terms recorded in OpenML description,1,4d957019f08820aed95aabec924950a1dea57fec20a4bef71ad03dd366838d0f,single-label-classification,approved_flag,51336,4,P1:5803|P2:32199|P3:7452|P4:5882,5.54868171635361,5803,61,,mixed,False,False,False,False,pass; raw-frame structural audit found no group/time/conflicting-profile issue,moderate_ir_5_to_20,True,,balanced_random_forest;class_weighted;random_over;random_under;raw;smoteenn;smotenc;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=0; numeric_columns=56; categorical_columns=5.
openml_46807_melbourne_airbnb,melbourne_airbnb,OpenML,openml:46807,https://openml.org/data/v1/download/46807/melbourne_airbnb.arff,OpenML public; underlying source terms recorded in OpenML description,2,6938419bb4fb2b9d52e4ef79b7b26f7f0b155e7a92c4f062c6bffb48fd4ee161,single-label-classification,price_label,18316,10,"""0"":1524|""1"":1672|""2"":1753|""3"":1587|""4"":871|""5"":2279|""6"":1934|""7"":1626|""8"":1731|""9"":3339",3.833524684270953,871,103,,mixed,True,False,False,False,review-fail; manual provenance decision,mild_ir_2_to_5,False,exclude: property/location and listing-time dependence cannot be separated with the retained fields,balanced_random_forest;class_weighted;random_over;random_under;raw;smoteenn;smotenc;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=0; numeric_columns=84; categorical_columns=19.
openml_46936_internet_firewall,internet_firewall,OpenML,openml:46936,https://openml.org/data/v1/download/46936/internet_firewall.arff,OpenML public; underlying source terms recorded in OpenML description,1,e52a207ac03b806f79ee18ddf64750e8c351b36b047e569cc140ca4d8108389b,single-label-classification,Action,65532,4,allow:37640|deny:14987|drop:12851|reset-both:54,697.0370370370371,54,11,,numeric,False,False,False,True,pass; raw-frame structural audit found no group/time/conflicting-profile issue,severe_ir_gt_20,True,,adasyn;balanced_random_forest;borderline_smote;class_weighted;random_over;random_under;raw;smote;smoteenn;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=8362; conflicting_feature_groups=9; numeric_columns=11; categorical_columns=0.
openml_46943_mic,MIC,OpenML,openml:46943,https://openml.org/data/v1/download/46943/MIC.arff,OpenML public; underlying source terms recorded in OpenML description,2,986c24e5e90eb143b7d5821d7696496c03d67ed1ebb148168c583761a8733e89,single-label-classification,LET_IS,1699,8,alive:1428|asystole:27|cardiogenic_shock:110|myocardial_rupture:54|progress_congestive_heart_failure:23|pulmonary_edema:18|thromboembolism:12|ventricular_fibrillation:27,119.0,12,122,,mixed,True,False,False,False,pass; raw-frame structural audit found no group/time/conflicting-profile issue,severe_ir_gt_20,True,,balanced_random_forest;class_weighted;random_over;random_under;raw;smoteenn;smotenc;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=0; numeric_columns=17; categorical_columns=105.
openml_46955_sdss17,SDSS17,OpenML,openml:46955,https://openml.org/data/v1/download/46955/SDSS17.arff,OpenML public; underlying source terms recorded in OpenML description,1,3b942ff1243018fec4eab8ca1fed401df9f5880e95e3f1d8fbbbad8bd6e8d7e8,single-label-classification,ObjectType,78053,3,GALAXY:47613|QSO:13994|STAR:16446,3.402386737173074,13994,11,,mixed,False,False,False,False,review-fail; manual provenance decision,mild_ir_2_to_5,False,exclude: astronomy source grouping/provenance is unresolved for row-wise IID folds,balanced_random_forest;class_weighted;random_over;random_under;raw;smoteenn;smotenc;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=0; numeric_columns=9; categorical_columns=2.
openml_46960_students_dropout_and_academic_success,students_dropout_and_academic_success,OpenML,openml:46960,https://openml.org/data/v1/download/46960/students_dropout_and_academic_success.arff,OpenML public; underlying source terms recorded in OpenML description,1,cbbe4c14084acdb655e997ae9f2d3eb0737a4ad01df371dd2a0cab1939058e20,single-label-classification,AcademicOutcome,4424,3,Dropout:1421|Enrolled:794|Graduate:2209,2.782115869017632,794,36,,mixed,False,False,False,False,pass; raw-frame structural audit found no group/time/conflicting-profile issue,mild_ir_2_to_5,True,,balanced_random_forest;class_weighted;random_over;random_under;raw;smoteenn;smotenc;smotetomek,Structural eligibility only; no benchmark scores inspected. duplicate_rows=0; conflicting_feature_groups=0; numeric_columns=19; categorical_columns=17.
